"EMPLOYEE NUMBER","NIC","NAME","DATE OF JOIN","MEMBER STATUS","DAYS WORKED","DESIGNATION","ADDRESS LINE 1","ADDRESS LINE 2","CITY","ACCOUNT","BANK","BRANCH","BASIC SALARY","BRA","NO PAY","GROSS SALARY","EPF DEDUCTION","NET SALARY","TBI","PBI","SALES COMMISSION","UPSELLING AND EBILLING INCENTIVE","TOTAL REMUNERATION","PAYE","HOLD","BANK TRANSFER AMOUNT","EPF CONTRIBUTION","ETF CONTRIBUTION"
5534,"876702835V","A.W.HASITHA KUMUDUNI",,,,"CALL CENTER ASSOCIATES - OB  - POSTPAID COLL.","NO 2, KANDY ROAD","KIRIBATHGODA 34","COLOMBO 34",8630023172,"COM",,15500.00,1000.00,0.00,16500.00,1320.00,15180.00,3840.00,1873.82,34000.00,340.00,55233.82,0.00,0.00,55233.82,1980.00,495.00
5535,"923450769V","M.RUHUBAAN MOHAMED RISHKAAN",,,,"CALL CENTER ASSOCIATES - OB  - POSTPAID COLL.","NO 1, KANDY ROAD","KIRIBATHGODA 35","COLOMBO 35",8590035260,"COM","MORATUWA",15500.00,1000.00,0.00,16500.00,1320.00,15180.00,3630.00,2503.82,35000.00,350.00,56663.82,0.00,0.00,56663.82,1980.00,495.00
5536,"901320969V","IMTIYAS AMJED KHAN",,,,"CALL CENTER ASSOCIATES - OB  - POSTPAID COLL.","NO 1, KANDY ROAD","KIRIBATHGODA 36","COLOMBO 36",8430035558,"COM","CHILAW",15500.00,1000.00,0.00,16500.00,1320.00,15180.00,1793.09,2031.32,36000.00,360.00,55364.41,780.00,0.00,54584.41,1980.00,495.00
5537,"912420396V","M.NIYAS AHMED RIYADH",,,,"CALL CENTER ASSOCIATES - OB  - POSTPAID COLL.","NO 2, KANDY ROAD","KIRIBATHGODA 37","COLOMBO 37",8520024101,"COM","BADULLA",15500.00,1000.00,0.00,16500.00,1320.00,15180.00,2065.00,1536.32,37000.00,370.00,56151.32,0.00,0.00,56151.32,1980.00,495.00
5538,"902200010V","M.FAROOK ABDULLAH AZAM",,,,"CALL CENTER ASSOCIATES - OB  - POSTPAID COLL.","NO 1, KANDY ROAD","KIRIBATHGODA 38","COLOMBO 38",8790016525,"COM",,16000.00,1000.00,0.00,17000.00,1360.00,15640.00,2797.68,5023.00,38000.00,380.00,61840.68,0.00,0.00,61840.68,2040.00,510.00
5539,"872741267V","J.M.P.KUMARA BANDARA JAYASUNDARA",,,,"CALL CENTER ASSOCIATES - OB - MKTING CVM","NO 2, KANDY ROAD","KIRIBATHGODA 39","COLOMBO 39",8040051179,"COM",,16000.00,1000.00,0.00,17000.00,1360.00,15640.00,4800.00,5023.00,39000.00,390.00,64853.00,0.00,0.00,64853.00,2040.00,510.00
5540,"911500612V","ALLEN GRESHEN KOCH",,,,"CALL CENTER ASSOCIATES - OB - MKTING CVM","NO 1, KANDY ROAD","KIRIBATHGODA 40","COLOMBO 40",8160071374,"COM","KURUNAGALA",15000.00,1000.00,0.00,16000.00,1280.00,14720.00,3220.00,4157.57,40000.00,400.00,62497.57,0.00,0.00,62497.57,1920.00,480.00
5541,"940043328V","P.KAUSHALYA VITHANA PATHIRANA",,,,"CALL CENTER ASSOCIATES - OB - MKTING CVM","NO 2, KANDY ROAD","KIRIBATHGODA 41","COLOMBO 41",8440044674,"COM","GAMPAHA",15000.00,1000.00,0.00,16000.00,1280.00,14720.00,0.00,1150.45,41000.00,410.00,57280.45,0.00,0.00,57280.45,1920.00,480.00
5542,"868303425V","TARAKA DIMUTHUMALI DHANAWALAWITHANE",,,,"CALL CENTER ASSOCIATES - OB - MKTING CVM","NO 1, KANDY ROAD","KIRIBATHGODA 42","COLOMBO 42",8106012563,"COM","BAMBALAPITIYA",15000.00,1000.00,0.00,16000.00,1280.00,14720.00,0.00,1716.32,42000.00,420.00,58856.32,0.00,0.00,58856.32,1920.00,480.00
5543,"881231166V","H.THILINA HARSHAN AMARAWANSHA ",,,,"CALL CENTER ASSOCIATES - OB - MKTING CVM","NO 1, KANDY ROAD","KIRIBATHGODA 43","COLOMBO 43",8530029767,"COM","ANURADHAPURA",15000.00,1000.00,0.00,16000.00,1280.00,14720.00,0.00,4436.01,43000.00,430.00,62586.01,0.00,0.00,62586.01,1920.00,480.00
5544,"881412519V","M.NAWAZ MOHAMED MURSITH",,,,"CALL CENTER ASSOCIATES - OB - MKTING CVM","NO 2, KANDY ROAD","KIRIBATHGODA 44","COLOMBO 44",8390012436,"COM","KEYZER STREET",15000.00,1000.00,0.00,16000.00,1280.00,14720.00,0.00,1210.07,44000.00,440.00,60370.07,0.00,0.00,60370.07,1920.00,480.00
5545,"871041326V","M.A.LAKMAL CHATHURANGA",,,,"CALL CENTER ASSOCIATES - OB - MKTING CVM","NO 1, KANDY ROAD","KIRIBATHGODA 45","COLOMBO 45",8214000829,"COM","MAJESTIC CITY",15000.00,1000.00,0.00,16000.00,1280.00,14720.00,0.00,1536.32,45000.00,450.00,61706.32,0.00,0.00,61706.32,1920.00,480.00
5546,"931632361V","JASON STEWART BELL",,,,"CALL CENTER ASSOCIATES - OB - MKTING CVM","NO 2, KANDY ROAD","KIRIBATHGODA 46","COLOMBO 46",8221005763,"COM",,15000.00,1000.00,0.00,16000.00,1280.00,14720.00,0.00,5023.00,46000.00,460.00,66203.00,0.00,0.00,66203.00,1920.00,480.00
5547,"896580477V","ANISHA SHIVONI FERNANDOPULLE",,,,"CALL CENTER ASSOCIATES - OB - MKTING CVM","NO 1, KANDY ROAD","KIRIBATHGODA 47","COLOMBO 47",8740020822,"COM","KOCHCHIKADE",15000.00,1000.00,0.00,16000.00,1280.00,14720.00,0.00,5023.00,47000.00,470.00,67213.00,0.00,0.00,67213.00,1920.00,480.00
5548,"925611042V","C.A.B. ACHINI BERNIKA JAYAWARDINA",,,,"CALL CENTER ASSOCIATES - OB - MKTING CVM","NO 2, KANDY ROAD","KIRIBATHGODA 48","COLOMBO 48",8520025798,"COM","BADULLA",15000.00,1000.00,0.00,16000.00,1280.00,14720.00,0.00,1176.32,48000.00,480.00,64376.32,0.00,0.00,64376.32,1920.00,480.00
5549,"935212545V","THARUKA NILAKSHI KUMARI WIJETHUNGA",,,,"CALL CENTER ASSOCIATES - OB - MKTING CVM","NO 1, KANDY ROAD","KIRIBATHGODA 49","COLOMBO 49",,,,15000.00,1000.00,0.00,16000.00,1280.00,14720.00,0.00,1142.57,49000.00,490.00,65352.57,0.00,0.00,65352.57,1920.00,480.00
5550,"893200509V","JAGANATAN NIMALESWARAN",,,,"CALL CENTER ASSOCIATES - OB - MKTING CVM","NO 1, KANDY ROAD","KIRIBATHGODA 50","COLOMBO 50",8110030921,"COM","KOLLUPITIYA",15000.00,1000.00,0.00,16000.00,1280.00,14720.00,0.00,0.00,50000.00,500.00,65220.00,0.00,0.00,65220.00,1920.00,480.00
5551,"915991831V","S.M.SHANIKA SANDARU WIMALARATHNE",,,,"CALL CENTER ASSOCIATES - OB - MKTING CVM","NO 2, KANDY ROAD","KIRIBATHGODA 51","COLOMBO 51",8218001292,"COM",,15500.00,1000.00,0.00,16500.00,1320.00,15180.00,0.00,1018.82,51000.00,510.00,67708.82,0.00,0.00,67708.82,1980.00,495.00
5552,"907563359V","CHANIKA NIMANTHI HAKMANA WIJESINGHE ",,,,"CALL CENTER ASSOCIATES - OB - MKTING CVM","NO 1, KANDY ROAD","KIRIBATHGODA 52","COLOMBO 52",,,,15500.00,1000.00,0.00,16500.00,1320.00,15180.00,0.00,4311.70,52000.00,520.00,72011.70,0.00,0.00,72011.70,1980.00,495.00
5553,"933211495V","KANDIAH YASWANTH",,,,"CALL CENTER ASSOCIATES - OB - MKTING CVM","NO 2, KANDY ROAD","KIRIBATHGODA 53","COLOMBO 53",8720018542,"COM",,15500.00,1000.00,0.00,16500.00,1320.00,15180.00,0.00,1446.32,53000.00,530.00,70156.32,0.00,0.00,70156.32,1980.00,495.00
5554,"886931468V","S.S.MADUSHA PIUMALI",,,,"CALL CENTER ASSOCIATES - OB - MKTING CVM","NO 1, KANDY ROAD","KIRIBATHGODA 54","COLOMBO 54",,,,15000.00,1000.00,0.00,16000.00,1280.00,14720.00,0.00,856.82,54000.00,540.00,70116.82,0.00,0.00,70116.82,1920.00,480.00
5555,"930502863V","SHANMUGARAJA SATHEESH",,,,"CALL CENTER ASSOCIATES - OB - MKTING CVM","NO 2, KANDY ROAD","KIRIBATHGODA 55","COLOMBO 55",8100914329,"COM","AMPARA",15000.00,1000.00,0.00,16000.00,1280.00,14720.00,0.00,0.00,55000.00,550.00,70270.00,0.00,0.00,70270.00,1920.00,480.00
5556,"902571973V","M.IMTIAZ MOHAMED IFRAZ",,,,"CALL CENTER ASSOCIATES - OB - MKTING CVM","NO 1, KANDY ROAD","KIRIBATHGODA 56","COLOMBO 56",8130034905,"COM","NEGOMBO",15000.00,1000.00,0.00,16000.00,1280.00,14720.00,0.00,1097.57,56000.00,560.00,72377.57,0.00,0.00,72377.57,1920.00,480.00
5557,"897650118V","J.M.DINIDU NADEEKA JAYAWARDANA ",,,,"CALL CENTER ASSOCIATES - OB - MKTING CVM","NO 1, KANDY ROAD","KIRIBATHGODA 57","COLOMBO 57",8209006293,"COM","MAHARAGEMA SERVICE POINT",15000.00,1000.00,0.00,16000.00,1280.00,14720.00,0.00,1352.95,57000.00,570.00,73642.95,346.00,0.00,73296.95,1920.00,480.00
5558,"911252058V","S.Y. B.MADUMADAWA RANATHUNGA",,,,"CALL CENTER ASSOCIATES - OB - MKTING CVM","NO 2, KANDY ROAD","KIRIBATHGODA 58","COLOMBO 58",8185002574,"COM","ANURADHAPURA",15000.00,1000.00,0.00,16000.00,1280.00,14720.00,0.00,1778.20,58000.00,580.00,75078.20,0.00,0.00,75078.20,1920.00,480.00
5559,"866244499V","G.A.PRADEEPA LAKMALI KARUNARATHNE ",,,,"CALL CENTER ASSOCIATES - OB - MKTING CVM","NO 1, KANDY ROAD","KIRIBATHGODA 59","COLOMBO 59",8190905574,"COM","KATUNAYAKE",15000.00,1000.00,0.00,16000.00,1280.00,14720.00,0.00,0.00,59000.00,590.00,74310.00,0.00,0.00,74310.00,1920.00,480.00
5560,"891861303V","R.P.RANJITH KRISHAN JAYASINGHE",,,,"CALL CENTER ASSOCIATES - OB - MKTING CVM","NO 2, KANDY ROAD","KIRIBATHGODA 60","COLOMBO 60",8650047662,"COM","NITTABUWA",15000.00,1000.00,0.00,16000.00,1280.00,14720.00,0.00,0.00,60000.00,600.00,75320.00,0.00,0.00,75320.00,1920.00,480.00
